Trial,Seed,Policy,Route_Index,Route_Name,Available,Hop_Count,Contact_Probability,Optical_Packet_Success_Lower_Bound,Physical_End_To_End_Success_Lower_Bound,PAT_s,Propagation_s,Policy_Score,Selected
3,100002,B4_Physical_Multiobjective,2,Earth_Relay1_Mars,1,2,0.82247904,0.99999981,0.822478883,120,1432.426746,0.32775629,0
3,100002,B4_Physical_Multiobjective,3,Earth_Relay2_Mars,1,2,0.82247904,0.999999977,0.822479021,120,1148.14899,0.408907693,0
4,100003,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,1,0.958004029,1,0.958004029,60,997.4243009,1,1
4,100003,B1_Shortest_Delay,1,Earth_Relay0_Mars,1,2,0.91777172,1,0.91777172,120,1138.185597,0.876328345,0
4,100003,B1_Shortest_Delay,2,Earth_Relay1_Mars,1,2,0.91777172,1,0.91777172,120,1357.860047,0.734556042,0
4,100003,B1_Shortest_Delay,3,Earth_Relay2_Mars,1,2,0.91777172,1,0.91777172,120,1003.727781,0.993719931,0
4,100003,B2_Contact_Aware,0,Direct_Earth_to_Mars,1,1,0.958004029,1,0.958004029,60,997.4243009,0.958004029,1
4,100003,B2_Contact_Aware,1,Earth_Relay0_Mars,1,2,0.91777172,1,0.91777172,120,1138.185597,0.91777172,0
4,100003,B2_Contact_Aware,2,Earth_Relay1_Mars,1,2,0.91777172,1,0.91777172,120,1357.860047,0.91777172,0
4,100003,B2_Contact_Aware,3,Earth_Relay2_Mars,1,2,0.91777172,1,0.91777172,120,1003.727781,0.91777172,0
4,100003,B3_Physical_Success,0,Direct_Earth_to_Mars,1,1,0.958004029,1,0.958004029,60,997.4243009,0.958004029,1
4,100003,B3_Physical_Success,1,Earth_Relay0_Mars,1,2,0.91777172,1,0.91777172,120,1138.185597,0.91777172,0
4,100003,B3_Physical_Success,2,Earth_Relay1_Mars,1,2,0.91777172,1,0.91777172,120,1357.860047,0.91777172,0
4,100003,B3_Physical_Success,3,Earth_Relay2_Mars,1,2,0.91777172,1,0.91777172,120,1003.727781,0.91777172,0
4,100003,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,1,1,0.958004029,1,0.958004029,60,997.4243009,0.958004029,1
4,100003,B4_Physical_Multiobjective,1,Earth_Relay0_Mars,1,2,0.91777172,1,0.91777172,120,1138.185597,0.402134687,0
4,100003,B4_Physical_Multiobjective,2,Earth_Relay1_Mars,1,2,0.91777172,1,0.91777172,120,1357.860047,0.337077381,0
4,100003,B4_Physical_Multiobjective,3,Earth_Relay2_Mars,1,2,0.91777172,1,0.91777172,120,1003.727781,0.456004025,0
5,100004,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,1,0.858842197,1,0.858842197,60,384.6805297,1,1
5,100004,B1_Shortest_Delay,1,Earth_Relay0_Mars,1,2,0.737609919,1,0.737609919,120,530.7722376,0.724756312,0
5,100004,B1_Shortest_Delay,2,Earth_Relay1_Mars,1,2,0.737609919,1,0.737609919,120,865.8019077,0.444305477,0
5,100004,B1_Shortest_Delay,3,Earth_Relay2_Mars,1,2,0.737609919,1,0.737609919,120,390.3733799,0.98541691,0
5,100004,B2_Contact_Aware,0,Direct_Earth_to_Mars,1,1,0.858842197,1,0.858842197,60,384.6805297,0.858842197,1
5,100004,B2_Contact_Aware,1,Earth_Relay0_Mars,1,2,0.737609919,1,0.737609919,120,530.7722376,0.737609919,0
5,100004,B2_Contact_Aware,2,Earth_Relay1_Mars,1,2,0.737609919,1,0.737609919,120,865.8019077,0.737609919,0
5,100004,B2_Contact_Aware,3,Earth_Relay2_Mars,1,2,0.737609919,1,0.737609919,120,390.3733799,0.737609919,0
5,100004,B3_Physical_Success,0,Direct_Earth_to_Mars,1,1,0.858842197,1,0.858842197,60,384.6805297,0.858842197,1
5,100004,B3_Physical_Success,1,Earth_Relay0_Mars,1,2,0.737609919,1,0.737609919,120,530.7722376,0.737609919,0
5,100004,B3_Physical_Success,2,Earth_Relay1_Mars,1,2,0.737609919,1,0.737609919,120,865.8019077,0.737609919,0
5,100004,B3_Physical_Success,3,Earth_Relay2_Mars,1,2,0.737609919,1,0.737609919,120,390.3733799,0.737609919,0
