Trial,Seed,Dominating_Route,Dominated_Route
21,100020,Direct_Earth_to_Mars,Earth_Relay2_Mars
21,100020,Earth_Relay1_Mars,Earth_Relay0_Mars
21,100020,Earth_Relay2_Mars,Earth_Relay0_Mars
22,100021,Direct_Earth_to_Mars,Earth_Relay0_Mars
22,100021,Direct_Earth_to_Mars,Earth_Relay1_Mars
22,100021,Direct_Earth_to_Mars,Earth_Relay2_Mars
22,100021,Earth_Relay0_Mars,Earth_Relay1_Mars
22,100021,Earth_Relay2_Mars,Earth_Relay1_Mars
23,100022,Direct_Earth_to_Mars,Earth_Relay1_Mars
23,100022,Direct_Earth_to_Mars,Earth_Relay2_Mars
23,100022,Earth_Relay2_Mars,Earth_Relay1_Mars
24,100023,Direct_Earth_to_Mars,Earth_Relay1_Mars
25,100024,Direct_Earth_to_Mars,Earth_Relay0_Mars
25,100024,Direct_Earth_to_Mars,Earth_Relay1_Mars
25,100024,Direct_Earth_to_Mars,Earth_Relay2_Mars
25,100024,Earth_Relay0_Mars,Earth_Relay1_Mars
25,100024,Earth_Relay2_Mars,Earth_Relay0_Mars
25,100024,Earth_Relay2_Mars,Earth_Relay1_Mars
26,100025,Direct_Earth_to_Mars,Earth_Relay0_Mars
26,100025,Direct_Earth_to_Mars,Earth_Relay1_Mars
26,100025,Direct_Earth_to_Mars,Earth_Relay2_Mars
26,100025,Earth_Relay0_Mars,Earth_Relay1_Mars
26,100025,Earth_Relay2_Mars,Earth_Relay1_Mars
27,100026,Direct_Earth_to_Mars,Earth_Relay0_Mars
27,100026,Direct_Earth_to_Mars,Earth_Relay1_Mars
27,100026,Direct_Earth_to_Mars,Earth_Relay2_Mars
27,100026,Earth_Relay0_Mars,Earth_Relay1_Mars
27,100026,Earth_Relay2_Mars,Earth_Relay0_Mars
27,100026,Earth_Relay2_Mars,Earth_Relay1_Mars
28,100027,Direct_Earth_to_Mars,Earth_Relay2_Mars
29,100028,Direct_Earth_to_Mars,Earth_Relay0_Mars
29,100028,Direct_Earth_to_Mars,Earth_Relay1_Mars
29,100028,Earth_Relay0_Mars,Earth_Relay1_Mars
30,100029,Direct_Earth_to_Mars,Earth_Relay0_Mars
30,100029,Direct_Earth_to_Mars,Earth_Relay1_Mars
30,100029,Direct_Earth_to_Mars,Earth_Relay2_Mars
30,100029,Earth_Relay1_Mars,Earth_Relay0_Mars
30,100029,Earth_Relay2_Mars,Earth_Relay0_Mars
30,100029,Earth_Relay2_Mars,Earth_Relay1_Mars
31,100030,Direct_Earth_to_Mars,Earth_Relay0_Mars
31,100030,Direct_Earth_to_Mars,Earth_Relay1_Mars
31,100030,Direct_Earth_to_Mars,Earth_Relay2_Mars
31,100030,Earth_Relay0_Mars,Earth_Relay1_Mars
31,100030,Earth_Relay2_Mars,Earth_Relay1_Mars
32,100031,Direct_Earth_to_Mars,Earth_Relay0_Mars
32,100031,Direct_Earth_to_Mars,Earth_Relay1_Mars
32,100031,Direct_Earth_to_Mars,Earth_Relay2_Mars
32,100031,Earth_Relay0_Mars,Earth_Relay1_Mars
32,100031,Earth_Relay2_Mars,Earth_Relay0_Mars
32,100031,Earth_Relay2_Mars,Earth_Relay1_Mars
33,100032,Direct_Earth_to_Mars,Earth_Relay0_Mars
33,100032,Direct_Earth_to_Mars,Earth_Relay1_Mars
33,100032,Direct_Earth_to_Mars,Earth_Relay2_Mars
33,100032,Earth_Relay0_Mars,Earth_Relay1_Mars
34,100033,Direct_Earth_to_Mars,Earth_Relay0_Mars
34,100033,Direct_Earth_to_Mars,Earth_Relay1_Mars
34,100033,Direct_Earth_to_Mars,Earth_Relay2_Mars
34,100033,Earth_Relay0_Mars,Earth_Relay1_Mars
34,100033,Earth_Relay2_Mars,Earth_Relay0_Mars
34,100033,Earth_Relay2_Mars,Earth_Relay1_Mars
35,100034,Direct_Earth_to_Mars,Earth_Relay0_Mars
35,100034,Direct_Earth_to_Mars,Earth_Relay1_Mars
35,100034,Direct_Earth_to_Mars,Earth_Relay2_Mars
35,100034,Earth_Relay0_Mars,Earth_Relay1_Mars
35,100034,Earth_Relay2_Mars,Earth_Relay0_Mars
35,100034,Earth_Relay2_Mars,Earth_Relay1_Mars
36,100035,Direct_Earth_to_Mars,Earth_Relay0_Mars
36,100035,Direct_Earth_to_Mars,Earth_Relay1_Mars
36,100035,Direct_Earth_to_Mars,Earth_Relay2_Mars
36,100035,Earth_Relay1_Mars,Earth_Relay0_Mars
36,100035,Earth_Relay2_Mars,Earth_Relay0_Mars
37,100036,Direct_Earth_to_Mars,Earth_Relay0_Mars
37,100036,Direct_Earth_to_Mars,Earth_Relay1_Mars
37,100036,Earth_Relay1_Mars,Earth_Relay0_Mars
38,100037,Direct_Earth_to_Mars,Earth_Relay0_Mars
38,100037,Direct_Earth_to_Mars,Earth_Relay1_Mars
38,100037,Direct_Earth_to_Mars,Earth_Relay2_Mars
38,100037,Earth_Relay1_Mars,Earth_Relay0_Mars
38,100037,Earth_Relay2_Mars,Earth_Relay0_Mars
39,100038,Direct_Earth_to_Mars,Earth_Relay0_Mars
39,100038,Direct_Earth_to_Mars,Earth_Relay1_Mars
39,100038,Direct_Earth_to_Mars,Earth_Relay2_Mars
39,100038,Earth_Relay0_Mars,Earth_Relay1_Mars
39,100038,Earth_Relay2_Mars,Earth_Relay0_Mars
39,100038,Earth_Relay2_Mars,Earth_Relay1_Mars
40,100039,Direct_Earth_to_Mars,Earth_Relay0_Mars
40,100039,Direct_Earth_to_Mars,Earth_Relay1_Mars
40,100039,Direct_Earth_to_Mars,Earth_Relay2_Mars
40,100039,Earth_Relay0_Mars,Earth_Relay1_Mars
40,100039,Earth_Relay2_Mars,Earth_Relay1_Mars
41,100040,Direct_Earth_to_Mars,Earth_Relay0_Mars
41,100040,Direct_Earth_to_Mars,Earth_Relay1_Mars
41,100040,Direct_Earth_to_Mars,Earth_Relay2_Mars
41,100040,Earth_Relay1_Mars,Earth_Relay0_Mars
41,100040,Earth_Relay2_Mars,Earth_Relay0_Mars
42,100041,Direct_Earth_to_Mars,Earth_Relay0_Mars
42,100041,Direct_Earth_to_Mars,Earth_Relay1_Mars
42,100041,Direct_Earth_to_Mars,Earth_Relay2_Mars
42,100041,Earth_Relay0_Mars,Earth_Relay1_Mars
42,100041,Earth_Relay2_Mars,Earth_Relay1_Mars
43,100042,Direct_Earth_to_Mars,Earth_Relay0_Mars
43,100042,Direct_Earth_to_Mars,Earth_Relay2_Mars
44,100043,Direct_Earth_to_Mars,Earth_Relay0_Mars
44,100043,Direct_Earth_to_Mars,Earth_Relay1_Mars
44,100043,Direct_Earth_to_Mars,Earth_Relay2_Mars
44,100043,Earth_Relay1_Mars,Earth_Relay0_Mars
44,100043,Earth_Relay2_Mars,Earth_Relay0_Mars
45,100044,Direct_Earth_to_Mars,Earth_Relay0_Mars
45,100044,Direct_Earth_to_Mars,Earth_Relay1_Mars
45,100044,Direct_Earth_to_Mars,Earth_Relay2_Mars
45,100044,Earth_Relay1_Mars,Earth_Relay0_Mars
45,100044,Earth_Relay2_Mars,Earth_Relay0_Mars
45,100044,Earth_Relay2_Mars,Earth_Relay1_Mars
46,100045,Direct_Earth_to_Mars,Earth_Relay0_Mars
46,100045,Direct_Earth_to_Mars,Earth_Relay1_Mars
46,100045,Direct_Earth_to_Mars,Earth_Relay2_Mars
46,100045,Earth_Relay1_Mars,Earth_Relay0_Mars
47,100046,Direct_Earth_to_Mars,Earth_Relay0_Mars
47,100046,Direct_Earth_to_Mars,Earth_Relay1_Mars
47,100046,Earth_Relay0_Mars,Earth_Relay1_Mars
48,100047,Direct_Earth_to_Mars,Earth_Relay0_Mars
48,100047,Direct_Earth_to_Mars,Earth_Relay1_Mars
48,100047,Direct_Earth_to_Mars,Earth_Relay2_Mars
48,100047,Earth_Relay1_Mars,Earth_Relay0_Mars
48,100047,Earth_Relay2_Mars,Earth_Relay0_Mars
49,100048,Direct_Earth_to_Mars,Earth_Relay0_Mars
49,100048,Direct_Earth_to_Mars,Earth_Relay1_Mars
49,100048,Earth_Relay0_Mars,Earth_Relay1_Mars
50,100049,Direct_Earth_to_Mars,Earth_Relay0_Mars
