Trial,Seed,Policy,Selected_Route_Index,Selected_Route_Name,Selected_Score,Selected_Physical_Success_Lower_Bound
17,100016,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.91920548232522847
17,100016,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.91920548232522847,0.91920548232522847
17,100016,B3_Physical_Success,0,Direct_Earth_to_Mars,0.91920548232522847,0.91920548232522847
17,100016,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.91920548232522847,0.91920548232522847
18,100017,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.98378852196704902
18,100017,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.98378852196704902,0.98378852196704902
18,100017,B3_Physical_Success,0,Direct_Earth_to_Mars,0.98378852196704902,0.98378852196704902
18,100017,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.98378852196704902,0.98378852196704902
19,100018,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.91054995490871793
19,100018,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.91054995490992574,0.91054995490871793
19,100018,B3_Physical_Success,0,Direct_Earth_to_Mars,0.91054995490871793,0.91054995490871793
19,100018,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.91054995490871793,0.91054995490871793
20,100019,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.80712626937042442
20,100019,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.80715699311883227,0.80712626937042442
20,100019,B3_Physical_Success,0,Direct_Earth_to_Mars,0.80712626937042442,0.80712626937042442
20,100019,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.80712626937042442,0.80712626937042442
21,100020,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.90102132479547914
21,100020,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.90102198459603977,0.90102132479547914
21,100020,B3_Physical_Success,0,Direct_Earth_to_Mars,0.90102132479547914,0.90102132479547914
21,100020,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.90102132479547914,0.90102132479547914
22,100021,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.86590835379496933
22,100021,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.8659083538275909,0.86590835379496933
22,100021,B3_Physical_Success,0,Direct_Earth_to_Mars,0.86590835379496933,0.86590835379496933
22,100021,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.86590835379496933,0.86590835379496933
23,100022,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.85618614364682233
23,100022,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.85618614364682233,0.85618614364682233
23,100022,B3_Physical_Success,0,Direct_Earth_to_Mars,0.85618614364682233,0.85618614364682233
23,100022,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.85618614364682233,0.85618614364682233
24,100023,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.95012945515140801
24,100023,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.95012945515140801,0.95012945515140801
24,100023,B3_Physical_Success,0,Direct_Earth_to_Mars,0.95012945515140801,0.95012945515140801
24,100023,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.95012945515140801,0.95012945515140801
25,100024,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.83298029195047563
25,100024,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.83298029195047563,0.83298029195047563
25,100024,B3_Physical_Success,0,Direct_Earth_to_Mars,0.83298029195047563,0.83298029195047563
25,100024,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.83298029195047563,0.83298029195047563
26,100025,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.89311884287328547
26,100025,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.89311996980814345,0.89311884287328547
26,100025,B3_Physical_Success,0,Direct_Earth_to_Mars,0.89311884287328547,0.89311884287328547
26,100025,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.89311884287328547,0.89311884287328547
27,100026,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.97287207926014363
27,100026,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.97287207926014363,0.97287207926014363
27,100026,B3_Physical_Success,0,Direct_Earth_to_Mars,0.97287207926014363,0.97287207926014363
27,100026,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.97287207926014363,0.97287207926014363
28,100027,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.81137850097457098
28,100027,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.811386381915705,0.81137850097457098
28,100027,B3_Physical_Success,0,Direct_Earth_to_Mars,0.81137850097457098,0.81137850097457098
28,100027,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.81137850097457098,0.81137850097457098
29,100028,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.98359919600037971
29,100028,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.98360156737715587,0.98359919600037971
29,100028,B3_Physical_Success,0,Direct_Earth_to_Mars,0.98359919600037971,0.98359919600037971
29,100028,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.98359919600037971,0.98359919600037971
30,100029,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.90648948760529491
30,100029,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.90648948760529491,0.90648948760529491
30,100029,B3_Physical_Success,0,Direct_Earth_to_Mars,0.90648948760529491,0.90648948760529491
30,100029,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.90648948760529491,0.90648948760529491
31,100030,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.992954432683125
31,100030,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.99295512687010901,0.992954432683125
31,100030,B3_Physical_Success,0,Direct_Earth_to_Mars,0.992954432683125,0.992954432683125
31,100030,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.992954432683125,0.992954432683125
32,100031,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.98802097086297014
32,100031,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.98802097086297014,0.98802097086297014
32,100031,B3_Physical_Success,0,Direct_Earth_to_Mars,0.98802097086297014,0.98802097086297014
32,100031,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.98802097086297014,0.98802097086297014
33,100032,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.98552439763673538
33,100032,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.98552483837518501,0.98552439763673538
33,100032,B3_Physical_Success,0,Direct_Earth_to_Mars,0.98552439763673538,0.98552439763673538
33,100032,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.98552439763673538,0.98552439763673538
34,100033,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.88845660568834739
34,100033,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.88845660568834739,0.88845660568834739
34,100033,B3_Physical_Success,0,Direct_Earth_to_Mars,0.88845660568834739,0.88845660568834739
34,100033,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.88845660568834739,0.88845660568834739
35,100034,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.85932753571367226
35,100034,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.85932753571367226,0.85932753571367226
35,100034,B3_Physical_Success,0,Direct_Earth_to_Mars,0.85932753571367226,0.85932753571367226
35,100034,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.85932753571367226,0.85932753571367226
36,100035,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.97864800453092804
36,100035,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.97878465874309561,0.97864800453092804
36,100035,B3_Physical_Success,0,Direct_Earth_to_Mars,0.97864800453092804,0.97864800453092804
36,100035,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.97864800453092804,0.97864800453092804
37,100036,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.87132132168355236
37,100036,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.87132132168355236,0.87132132168355236
37,100036,B3_Physical_Success,0,Direct_Earth_to_Mars,0.87132132168355236,0.87132132168355236
37,100036,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.87132132168355236,0.87132132168355236
38,100037,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.80410895440282215
38,100037,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.8041435864716403,0.80410895440282215
38,100037,B3_Physical_Success,0,Direct_Earth_to_Mars,0.80410895440282215,0.80410895440282215
38,100037,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.80410895440282215,0.80410895440282215
39,100038,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.88205410123716033
39,100038,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.88205410123716033,0.88205410123716033
39,100038,B3_Physical_Success,0,Direct_Earth_to_Mars,0.88205410123716033,0.88205410123716033
39,100038,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.88205410123716033,0.88205410123716033
40,100039,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.87308023123283252
40,100039,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.87308023123298195,0.87308023123283252
40,100039,B3_Physical_Success,0,Direct_Earth_to_Mars,0.87308023123283252,0.87308023123283252
40,100039,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.87308023123283252,0.87308023123283252
41,100040,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.85664603645175519
41,100040,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.85670695008473374,0.85664603645175519
41,100040,B3_Physical_Success,0,Direct_Earth_to_Mars,0.85664603645175519,0.85664603645175519
41,100040,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.85664603645175519,0.85664603645175519
