Trial,Seed,Policy,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Link_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
64,100063,B2,200,179,0,21,21,0,0.89500000000000002,183296,1104.5784646017994
64,100063,B3,200,179,0,21,21,0,0.89500000000000002,183296,1104.5784646017994
64,100063,B4,200,179,0,21,21,0,0.89500000000000002,183296,1104.5784646017994
65,100064,B1,200,173,0,27,27,0,0.86499999999999999,177152,1260.2607821626589
65,100064,B2,200,173,0,27,27,0,0.86499999999999999,177152,1260.2607821626589
65,100064,B3,200,173,0,27,27,0,0.86499999999999999,177152,1260.2607821626589
65,100064,B4,200,173,0,27,27,0,0.86499999999999999,177152,1260.2607821626589
66,100065,B1,200,195,0,5,5,0,0.97499999999999998,199680,1147.2913970777802
66,100065,B2,200,195,0,5,5,0,0.97499999999999998,199680,1147.2913970777802
66,100065,B3,200,195,0,5,5,0,0.97499999999999998,199680,1147.2913970777802
66,100065,B4,200,195,0,5,5,0,0.97499999999999998,199680,1147.2913970777802
67,100066,B1,200,194,0,6,6,0,0.96999999999999997,198656,381.0954411240624
67,100066,B2,200,194,0,6,6,0,0.96999999999999997,198656,381.0954411240624
67,100066,B3,200,194,0,6,6,0,0.96999999999999997,198656,381.0954411240624
67,100066,B4,200,194,0,6,6,0,0.96999999999999997,198656,381.0954411240624
68,100067,B1,200,180,0,20,20,0,0.90000000000000002,184320,1274.6324548918426
68,100067,B2,200,180,0,20,20,0,0.90000000000000002,184320,1274.6324548918426
68,100067,B3,200,180,0,20,20,0,0.90000000000000002,184320,1274.6324548918426
68,100067,B4,200,180,0,20,20,0,0.90000000000000002,184320,1274.6324548918426
69,100068,B1,200,183,0,17,17,0,0.91500000000000004,187392,1188.5676826864726
69,100068,B2,200,183,0,17,17,0,0.91500000000000004,187392,1188.5676826864726
69,100068,B3,200,183,0,17,17,0,0.91500000000000004,187392,1188.5676826864726
69,100068,B4,200,183,0,17,17,0,0.91500000000000004,187392,1188.5676826864726
7,100006,B1,200,187,0,13,13,0,0.93500000000000005,191488,1359.8898816734379
7,100006,B2,200,187,0,13,13,0,0.93500000000000005,191488,1359.8898816734379
