Trial,Seed,Scenario,Policy,Selected_Route,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
100,1000099,Direct_Background_16,B2_Contact_Aware,Direct_Earth_to_Mars,200,160,0,40,40,0,0.80000000000000004,163840,900.84543909206479
100,1000099,Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,200,160,0,40,40,0,0.80000000000000004,163840,900.84543909206479
100,1000099,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,160,0,40,40,0,0.80000000000000004,163840,900.84543909206479
100,1000099,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,40,160,0,0,0
100,1000099,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,40,160,0,0,0
100,1000099,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay0_Mars,200,135,0,65,65,0,0.67500000000000004,138240,1074.2255119970077
100,1000099,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,135,0,65,65,0,0.67500000000000004,138240,966.89511779486213
100,1000099,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,200,134,0,66,40,26,0.67000000000000004,137216,900.84543909206593
100,1000099,Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,200,134,0,66,40,26,0.67000000000000004,137216,900.84543909206593
100,1000099,Direct_Pointing_25pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,200,134,0,66,40,26,0.67000000000000004,137216,900.84543909206593
100,1000099,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,134,0,66,40,26,0.67000000000000004,137216,900.84543909206593
1000,1000999,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,200,168,0,32,32,0,0.83999999999999997,172032,1014.1006048555425
1000,1000999,Control,B2_Contact_Aware,Direct_Earth_to_Mars,200,168,0,32,32,0,0.83999999999999997,172032,1014.1006048555425
1000,1000999,Control,B3_Physical_Success,Direct_Earth_to_Mars,200,168,0,32,32,0,0.83999999999999997,172032,1014.1006048555425
1000,1000999,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,168,0,32,32,0,0.83999999999999997,172032,1014.1006048555425
1000,1000999,Direct_Background_16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,168,0,32,32,0,0.83999999999999997,172032,1014.1006048555425
1000,1000999,Direct_Background_16,B2_Contact_Aware,Direct_Earth_to_Mars,200,168,0,32,32,0,0.83999999999999997,172032,1014.1006048555425
1000,1000999,Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,200,168,0,32,32,0,0.83999999999999997,172032,1014.1006048555425
1000,1000999,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,168,0,32,32,0,0.83999999999999997,172032,1014.1006048555425
1000,1000999,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,32,168,0,0,0
1000,1000999,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,32,168,0,0,0
1000,1000999,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay1_Mars,200,129,0,71,71,0,0.64500000000000002,132096,1213.934534978325
1000,1000999,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,129,0,71,71,0,0.64500000000000002,132096,1080.2978910389322
1000,1000999,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,32,168,0,0,0
1000,1000999,Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,32,168,0,0,0
1000,1000999,Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay1_Mars,200,129,0,71,71,0,0.64500000000000002,132096,1213.934534978325
1000,1000999,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,129,0,71,71,0,0.64500000000000002,132096,1080.2978910389322
101,1000100,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,200,193,0,7,7,0,0.96499999999999997,197632,1294.947105534955
101,1000100,Control,B2_Contact_Aware,Direct_Earth_to_Mars,200,193,0,7,7,0,0.96499999999999997,197632,1294.947105534955
101,1000100,Control,B3_Physical_Success,Direct_Earth_to_Mars,200,193,0,7,7,0,0.96499999999999997,197632,1294.947105534955
101,1000100,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,193,0,7,7,0,0.96499999999999997,197632,1294.947105534955
101,1000100,Direct_Background_16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,191,0,9,7,2,0.95499999999999996,195584,1294.947105534955
101,1000100,Direct_Background_16,B2_Contact_Aware,Direct_Earth_to_Mars,200,191,0,9,7,2,0.95499999999999996,195584,1294.947105534955
101,1000100,Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,200,191,0,9,7,2,0.95499999999999996,195584,1294.947105534955
101,1000100,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,191,0,9,7,2,0.95499999999999996,195584,1294.947105534955
101,1000100,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,7,193,0,0,0
101,1000100,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,7,193,0,0,0
101,1000100,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay2_Mars,200,185,0,15,15,0,0.92500000000000004,189440,1361.480812056421
101,1000100,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,185,0,15,15,0,0.92500000000000004,189440,1361.480812056421
101,1000100,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,7,193,0,0,0
