Scenario,Policy,Metric,N,Mean,SD,Minimum,Median,Maximum
Direct_Pointing_25pct_Power,B2_Contact_Aware,Delivered_Packets,1000,84.921999999999997,88.255259939036478,0,0,200
Direct_Pointing_25pct_Power,B2_Contact_Aware,Delivered_Bits,1000,86960.127999999997,90373.386177573353,0,0,204800
Direct_Pointing_25pct_Power,B2_Contact_Aware,Mean_Delivered_Latency_s,490,566.30619820357811,203.88349706326034,284.76498531353525,543.94956587012439,965.42685644577887
Direct_Pointing_25pct_Power,B2_Contact_Aware,Contact_Failures,1000,20.309999999999999,12.020915206522432,0,20,48
Direct_Pointing_25pct_Power,B2_Contact_Aware,Optical_Failures,1000,94.768000000000001,88.941715773897684,0,158,200
Direct_Pointing_25pct_Power,B3_Physical_Success,Reliability,1000,0.67094499999999935,0.36520961109345845,0,0.83499999999999996,1
Direct_Pointing_25pct_Power,B3_Physical_Success,Delivered_Packets,1000,134.18899999999999,73.041922218691738,0,167,200
Direct_Pointing_25pct_Power,B3_Physical_Success,Delivered_Bits,1000,137409.53599999999,74794.92835194034,0,171008,204800
Direct_Pointing_25pct_Power,B3_Physical_Success,Mean_Delivered_Latency_s,780,855.38719619854385,405.55559029719825,284.76498531353525,785.45324503743086,1499.5911223330766
Direct_Pointing_25pct_Power,B3_Physical_Success,Contact_Failures,1000,29.748999999999999,19.044071930017385,0,28,84
Direct_Pointing_25pct_Power,B3_Physical_Success,Optical_Failures,1000,0.27400000000000002,2.0662026021649629,0,0,44
Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Reliability,1000,0.83125500000000052,0.14798090526592719,0,0.85499999999999998,1
Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Delivered_Packets,1000,166.251,29.596181053185472,0,171,200
Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Delivered_Bits,1000,170241.024,30306.489398461923,0,175104,204800
Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Mean_Delivered_Latency_s,983,923.75039876132519,395.46569271110883,284.76498531353525,1010.1145951480114,1493.5264408038345
Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Contact_Failures,1000,29.207999999999998,18.836601433208532,0,27,79
Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Optical_Failures,1000,1.7190000000000001,8.6518722767904244,0,0,83
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Reliability,1000,0.32249499999999992,0.42392925823890876,0,0,1
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Delivered_Packets,1000,64.498999999999995,84.785851647781072,0,0,200
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Delivered_Bits,1000,66046.975999999995,86820.712087327818,0,0,204800
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Mean_Delivered_Latency_s,380,483.39086917624502,149.01518315743724,284.76498531353525,461.79990306240222,781.81633188529111
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Contact_Failures,1000,20.309999999999999,12.020915206522432,0,20,48
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Optical_Failures,1000,115.191,85.749702801412468,0,168.5,200
Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Reliability,1000,0.32249499999999992,0.42392925823890876,0,0,1
Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Delivered_Packets,1000,64.498999999999995,84.785851647781072,0,0,200
Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Delivered_Bits,1000,66046.975999999995,86820.712087327818,0,0,204800
Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Mean_Delivered_Latency_s,380,483.39086917624502,149.01518315743724,284.76498531353525,461.79990306240222,781.81633188529111
Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Contact_Failures,1000,20.309999999999999,12.020915206522432,0,20,48
Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Optical_Failures,1000,115.191,85.749702801412468,0,168.5,200
Direct_Combined_25pctPower_BG16,B3_Physical_Success,Reliability,1000,0.66118499999999969,0.36241891264563375,0,0.81999999999999995,1
Direct_Combined_25pctPower_BG16,B3_Physical_Success,Delivered_Packets,1000,132.23699999999999,72.483782529126742,0,164,200
Direct_Combined_25pctPower_BG16,B3_Physical_Success,Delivered_Bits,1000,135410.68799999999,74223.393309825784,0,167936,204800
Direct_Combined_25pctPower_BG16,B3_Physical_Success,Mean_Delivered_Latency_s,779,889.80526237649246,412.86787124777032,284.76498531353525,987.08943488317868,1499.5911223330766
Direct_Combined_25pctPower_BG16,B3_Physical_Success,Contact_Failures,1000,31.701000000000001,19.904516793652359,0,29,84
Direct_Combined_25pctPower_BG16,B3_Physical_Success,Optical_Failures,1000,0.27400000000000002,5.7436846983372902,0,0,180
Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Reliability,1000,0.8217100000000005,0.15430922602760119,0,0.84999999999999998,1
Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Delivered_Packets,1000,164.34200000000001,30.861845205520176,0,170,200
Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Delivered_Bits,1000,168286.20800000001,31602.52949045266,0,174080,204800
Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Mean_Delivered_Latency_s,982,933.94691982834036,394.91754981671357,284.76498531353525,1031.3746949355846,1493.5264408038345
Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Contact_Failures,1000,31.207000000000001,19.684095473620697,0,29,84
Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Optical_Failures,1000,1.629,10.985993403013183,0,0,180
