Trial,Seed,Scenario,Policy,Route_Name,Available,Contact_Probability,Stressed_Optical_Success_Lower,Physical_Success_Lower,PAT_s,Propagation_s,Policy_Score,Selected
1,100000,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.85134381764986822,0,0,60,754.58602701757093,1,1
1,100000,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.88100038107247924,0
1,100000,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.99219947224895533,0
1,100000,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,1,0.85134381764986822,0,0,60,754.58602701757093,0.85134381764986822,1
1,100000,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.72478629585065202,0
1,100000,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.72478629585065202,0
1,100000,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Direct_Earth_to_Mars,1,0.85134381764986822,0,0,60,754.58602701757093,0,0
1,100000,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.72478629585065202,1
1,100000,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.72478629585065202,0
1,100000,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,1,0.85134381764986822,0,0,60,754.58602701757093,0,0
1,100000,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.31926850142026758,0
1,100000,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.35956629011814606,1
1,100000,Direct_Hard_Obstruction,B1_Shortest_Delay,Direct_Earth_to_Mars,0,0.85134381764986822,0,0,60,754.58602701757093,-1,0
1,100000,Direct_Hard_Obstruction,B1_Shortest_Delay,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.88792667776326439,0
1,100000,Direct_Hard_Obstruction,B1_Shortest_Delay,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Direct_Hard_Obstruction,B1_Shortest_Delay,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,1,1
1,100000,Direct_Hard_Obstruction,B2_Contact_Aware,Direct_Earth_to_Mars,0,0.85134381764986822,0,0,60,754.58602701757093,-1,0
1,100000,Direct_Hard_Obstruction,B2_Contact_Aware,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.72478629585065202,1
1,100000,Direct_Hard_Obstruction,B2_Contact_Aware,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Direct_Hard_Obstruction,B2_Contact_Aware,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.72478629585065202,0
1,100000,Direct_Hard_Obstruction,B3_Physical_Success,Direct_Earth_to_Mars,0,0.85134381764986822,0,0,60,754.58602701757093,-1,0
1,100000,Direct_Hard_Obstruction,B3_Physical_Success,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.72478629585065202,1
1,100000,Direct_Hard_Obstruction,B3_Physical_Success,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Direct_Hard_Obstruction,B3_Physical_Success,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.72478629585065202,0
1,100000,Direct_Hard_Obstruction,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0,0.85134381764986822,0,0,60,754.58602701757093,-1,0
1,100000,Direct_Hard_Obstruction,B4_Physical_Multiobjective,Earth_Relay0_Mars,1,0.72478629585065202,1,0.72478629585065202,120,856.51044338820975,0.6435570877630119,0
1,100000,Direct_Hard_Obstruction,B4_Physical_Multiobjective,Earth_Relay1_Mars,0,0.72478629585065202,0,0,120,1155.7161124427341,-1,0
1,100000,Direct_Hard_Obstruction,B4_Physical_Multiobjective,Earth_Relay2_Mars,1,0.72478629585065202,1,0.72478629585065202,120,760.51847246723366,0.72478629585065202,1
2,100001,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.80392646849118699,0.99997950542187941,0.80390999235737526,60,1307.848734009463,1,1
2,100001,Control,B1_Shortest_Delay,Earth_Relay0_Mars,1,0.64629776674071149,0.99994188215671953,0.64626020530839157,120,1573.8844223533665,0.83096872644173514,0
2,100001,Control,B1_Shortest_Delay,Earth_Relay1_Mars,0,0.64629776674071149,0,0,120,1512.6367716714731,-1,0
2,100001,Control,B1_Shortest_Delay,Earth_Relay2_Mars,1,0.64629776674071149,0.99995346330666024,0.64626769017973451,120,1314.5143313016383,0.99492923193498006,0
2,100001,Control,B2_Contact_Aware,Direct_Earth_to_Mars,1,0.80392646849118699,0.99997950542187941,0.80390999235737526,60,1307.848734009463,0.80392646849118699,1
2,100001,Control,B2_Contact_Aware,Earth_Relay0_Mars,1,0.64629776674071149,0.99994188215671953,0.64626020530839157,120,1573.8844223533665,0.64629776674071149,0
2,100001,Control,B2_Contact_Aware,Earth_Relay1_Mars,0,0.64629776674071149,0,0,120,1512.6367716714731,-1,0
2,100001,Control,B2_Contact_Aware,Earth_Relay2_Mars,1,0.64629776674071149,0.99995346330666024,0.64626769017973451,120,1314.5143313016383,0.64629776674071149,0
2,100001,Control,B3_Physical_Success,Direct_Earth_to_Mars,1,0.80392646849118699,0.99997950542187941,0.80390999235737526,60,1307.848734009463,0.80390999235737526,1
2,100001,Control,B3_Physical_Success,Earth_Relay0_Mars,1,0.64629776674071149,0.99994188215671953,0.64626020530839157,120,1573.8844223533665,0.64626020530839157,0
2,100001,Control,B3_Physical_Success,Earth_Relay1_Mars,0,0.64629776674071149,0,0,120,1512.6367716714731,-1,0
2,100001,Control,B3_Physical_Success,Earth_Relay2_Mars,1,0.64629776674071149,0.99995346330666024,0.64626769017973451,120,1314.5143313016383,0.64626769017973451,0
2,100001,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,1,0.80392646849118699,0.99997950542187941,0.80390999235737526,60,1307.848734009463,0.80390999235737526,1
2,100001,Control,B4_Physical_Multiobjective,Earth_Relay0_Mars,1,0.64629776674071149,0.99994188215671953,0.64626020530839157,120,1573.8844223533665,0.26851100987754423,0
2,100001,Control,B4_Physical_Multiobjective,Earth_Relay1_Mars,0,0.64629776674071149,0,0,120,1512.6367716714731,-1,0
2,100001,Control,B4_Physical_Multiobjective,Earth_Relay2_Mars,1,0.64629776674071149,0.99995346330666024,0.64626769017973451,120,1314.5143313016383,0.32149530830745848,0
2,100001,Direct_Pointing_50pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.80392646849118699,0,0,60,1307.848734009463,1,1
2,100001,Direct_Pointing_50pct_Power,B1_Shortest_Delay,Earth_Relay0_Mars,1,0.64629776674071149,0.99994188215671953,0.64626020530839157,120,1573.8844223533665,0.83096872644173514,0
2,100001,Direct_Pointing_50pct_Power,B1_Shortest_Delay,Earth_Relay1_Mars,0,0.64629776674071149,0,0,120,1512.6367716714731,-1,0
