Trial,Seed,Route_Name,Route_Available,Hop_Number,Hop_Distance_m,Optical_Degradation_Factor,Background_Photons_Per_Slot,Diffraction_Efficiency,Received_Power_W,Photon_Flux_Per_s,Signal_Photons_Per_Slot,PPM_Order,Packet_Bits,Conservative_Uncoded_SER,Uncoded_Packet_Success_Probability
1,100000,Direct_Earth_to_Mars,1,1,226224890899.86777,0.91535498130280457,0,8.0270427174858836e-15,5.8780748292648849e-14,458652.48254649749,0.45865248254649749,16,8192,0.63213488463834366,0
1,100000,Earth_Relay0_Mars,1,1,181628612606.97336,0.91535498130280457,0,1.2452823078229069e-14,9.1190029087516029e-14,711534.54896910768,0.71153454896910762,16,8192,0.49089032394043841,0
1,100000,Earth_Relay0_Mars,1,2,75153218320.811935,0.91535498130280457,0,7.2734621373861394e-14,5.3262398390189983e-13,4155940.8407695112,4.1559408407695111,16,8192,0.01567104023803223,8.9383588940517961e-15
1,100000,Earth_Relay1_Mars,0,1,267517111940.19858,0.91535498130280457,0,5.7402818188494069e-15,4.2035164455725831e-14,327990.5937209726,0.32799059372097256,16,8192,0.72036979567273396,0
1,100000,Earth_Relay1_Mars,0,2,78966578570.133102,0.91535498130280457,0,6.5879410754700803e-14,4.8242437439687151e-13,3764244.9847093495,3.7642449847093493,16,8192,0.023185110741779202,1.3662512731066204e-21
1,100000,Earth_Relay2_Mars,1,1,227003438045.67664,0.91535498130280457,0,7.9720769028382424e-15,5.8378242434736159e-14,455511.82312426536,0.45551182312426536,16,8192,0.63412332589383147,0
1,100000,Earth_Relay2_Mars,1,2,1000000000.0000001,0.91535498130280457,0,4.1080559421807932e-10,3.0082635761166206e-09,23472779735.140671,23472.77973514067,16,8192,0,1
1,100000,Direct_Earth_to_Mars,1,1,226224890899.86777,0.91535498130280457,0.01,8.0270427174858836e-15,5.8780748292648849e-14,458652.48254649749,0.45865248254649749,16,8192,0.6667511345937468,0
1,100000,Earth_Relay0_Mars,1,1,181628612606.97336,0.91535498130280457,0.01,1.2452823078229069e-14,9.1190029087516029e-14,711534.54896910768,0.71153454896910762,16,8192,0.53494571782189282,0
1,100000,Earth_Relay0_Mars,1,2,75153218320.811935,0.91535498130280457,0.01,7.2734621373861394e-14,5.3262398390189983e-13,4155940.8407695112,4.1559408407695111,16,8192,0.02461898966036935,6.7446335362542282e-23
1,100000,Earth_Relay1_Mars,0,1,267517111940.19858,0.91535498130280457,0.01,5.7402818188494069e-15,4.2035164455725831e-14,327990.5937209726,0.32799059372097256,16,8192,0.74680946491587807,0
1,100000,Earth_Relay1_Mars,0,2,78966578570.133102,0.91535498130280457,0.01,6.5879410754700803e-14,4.8242437439687151e-13,3764244.9847093495,3.7642449847093493,16,8192,0.035144334907462049,1.5097154582254038e-32
1,100000,Earth_Relay2_Mars,1,1,227003438045.67664,0.91535498130280457,0.01,7.9720769028382424e-15,5.8378242434736159e-14,455511.82312426536,0.45551182312426536,16,8192,0.6685731292611985,0
1,100000,Earth_Relay2_Mars,1,2,1000000000.0000001,0.91535498130280457,0.01,4.1080559421807932e-10,3.0082635761166206e-09,23472779735.140671,23472.77973514067,16,8192,0,1
1,100000,Direct_Earth_to_Mars,1,1,226224890899.86777,0.91535498130280457,0.10000000000000001,8.0270427174858836e-15,5.8780748292648849e-14,458652.48254649749,0.45865248254649749,16,8192,0.82632021721027427,0
1,100000,Earth_Relay0_Mars,1,1,181628612606.97336,0.91535498130280457,0.10000000000000001,1.2452823078229069e-14,9.1190029087516029e-14,711534.54896910768,0.71153454896910762,16,8192,0.73423752662484465,0
1,100000,Earth_Relay0_Mars,1,2,75153218320.811935,0.91535498130280457,0.10000000000000001,7.2734621373861394e-14,5.3262398390189983e-13,4155940.8407695112,4.1559408407695111,16,8192,0.07021944523831436,1.7505738451959474e-65
1,100000,Earth_Relay1_Mars,0,1,267517111940.19858,0.91535498130280457,0.10000000000000001,5.7402818188494069e-15,4.2035164455725831e-14,327990.5937209726,0.32799059372097256,16,8192,0.87261742143813936,0
1,100000,Earth_Relay1_Mars,0,2,78966578570.133102,0.91535498130280457,0.10000000000000001,6.5879410754700803e-14,4.8242437439687151e-13,3764244.9847093495,3.7642449847093493,16,8192,0.095076214427099348,1.3847884308214275e-89
1,100000,Earth_Relay2_Mars,1,1,227003438045.67664,0.91535498130280457,0.10000000000000001,7.9720769028382424e-15,5.8378242434736159e-14,455511.82312426536,0.45551182312426536,16,8192,0.82745068949482592,0
1,100000,Earth_Relay2_Mars,1,2,1000000000.0000001,0.91535498130280457,0.10000000000000001,4.1080559421807932e-10,3.0082635761166206e-09,23472779735.140671,23472.77973514067,16,8192,0,1
1,100000,Direct_Earth_to_Mars,1,1,226224890899.86777,0.91535498130280457,1,8.0270427174858836e-15,5.8780748292648849e-14,458652.48254649749,0.45865248254649749,16,8192,0.91436565822922811,0
