Configuration_ID,Transmit_Power_W,TX_Diameter_m,RX_Diameter_m,Slot_Rate_Hz,Packet_Bits,PPM_Order,Background_Photons_Per_Slot,Photon_Gain_Factor,Route_Name,Total_Worlds,Available_Worlds,Certified_Worlds,All_Available_Worlds_Certified,Minimum_Scaled_Bottleneck_Photons_Per_Slot,Worst_Log10_Route_Packet_Failure_Upper_Bound,Mean_Route_Packet_Success_Lower_Bound_Available
1,10,0.29999999999999999,0.29999999999999999,250000,1024,16,4,20.249999999999993,Direct_Earth_to_Mars,100,100,16,0,2.8732296827180996,0,0.22276274932729528
1,10,0.29999999999999999,0.29999999999999999,250000,1024,16,4,20.249999999999993,Earth_Relay0_Mars,100,94,24,0,2.815419662082316,0,0.25531865696414419
1,10,0.29999999999999999,0.29999999999999999,250000,1024,16,4,20.249999999999993,Earth_Relay1_Mars,100,91,7,0,3.0743700481543494,0,0.13296995635703379
1,10,0.29999999999999999,0.29999999999999999,250000,1024,16,4,20.249999999999993,Earth_Relay2_Mars,100,92,15,0,2.8586411873236499,0,0.23112020509480946
2,10,0.29999999999999999,0.29999999999999999,250000,2048,16,4,20.249999999999993,Direct_Earth_to_Mars,100,100,16,0,2.8732296827180996,0,0.21368198271256669
2,10,0.29999999999999999,0.29999999999999999,250000,2048,16,4,20.249999999999993,Earth_Relay0_Mars,100,94,24,0,2.815419662082316,0,0.25531816499211818
2,10,0.29999999999999999,0.29999999999999999,250000,2048,16,4,20.249999999999993,Earth_Relay1_Mars,100,91,7,0,3.0743700481543494,0,0.12308276985692469
2,10,0.29999999999999999,0.29999999999999999,250000,2048,16,4,20.249999999999993,Earth_Relay2_Mars,100,92,15,0,2.8586411873236499,0,0.22422087387101824
3,10,0.29999999999999999,0.29999999999999999,250000,4096,16,4,20.249999999999993,Direct_Earth_to_Mars,100,100,15,0,2.8732296827180996,0,0.20718523231266547
3,10,0.29999999999999999,0.29999999999999999,250000,4096,16,4,20.249999999999993,Earth_Relay0_Mars,100,94,24,0,2.815419662082316,0,0.25531718104806617
3,10,0.29999999999999999,0.29999999999999999,250000,4096,16,4,20.249999999999993,Earth_Relay1_Mars,100,91,5,0,3.0743700481543494,0,0.1194274414063108
3,10,0.29999999999999999,0.29999999999999999,250000,4096,16,4,20.249999999999993,Earth_Relay2_Mars,100,92,14,0,2.8586411873236499,0,0.22018087817681911
4,10,0.29999999999999999,0.29999999999999999,250000,8192,16,4,20.249999999999993,Direct_Earth_to_Mars,100,100,14,0,2.8732296827180996,0,0.20373640960738892
4,10,0.29999999999999999,0.29999999999999999,250000,8192,16,4,20.249999999999993,Earth_Relay0_Mars,100,94,24,0,2.815419662082316,0,0.25531521315996197
