Condition,Base_Scenario,Factor_Name,Factor_Value,Trial,Seed,Policy,Selected_Route,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
TTL1500__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,TTL_s,1500,2,1000001,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
TTL1500__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,TTL_s,1500,2,1000001,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
TTL1500__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,TTL_s,1500,2,1000001,B3_Physical_Success,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1234.7622571246548
TTL1500__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,TTL_s,1500,2,1000001,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1234.7622571246548
TTL1500__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,TTL_s,1500,2,1000001,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
TTL1500__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,TTL_s,1500,2,1000001,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
TTL1500__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,TTL_s,1500,2,1000001,B3_Physical_Success,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1234.7622571246548
TTL1500__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,TTL_s,1500,2,1000001,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1234.7622571246548
TTL3000__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,TTL_s,3000,2,1000001,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
TTL3000__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,TTL_s,3000,2,1000001,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
TTL3000__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,TTL_s,3000,2,1000001,B3_Physical_Success,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1234.7622571246548
TTL3000__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,TTL_s,3000,2,1000001,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1234.7622571246548
TTL3000__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,TTL_s,3000,2,1000001,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
TTL3000__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,TTL_s,3000,2,1000001,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
TTL3000__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,TTL_s,3000,2,1000001,B3_Physical_Success,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1234.7622571246548
