Condition,Base_Scenario,Factor_Name,Factor_Value,Trial,Seed,Policy,Route_Name,Available,Hop_Count,Bottleneck_Photons_Per_Slot,Contact_Probability,Optical_Success_Lower,Physical_Success_Lower,PAT_s,Propagation_s,Policy_Score,Selected
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B3_Physical_Success,Earth_Relay1_Mars,1,2,304.42775422824872,0.67302721743809624,1,0.67302721743809624,120,671.49001305954516,0.67302721743809624,0
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B3_Physical_Success,Earth_Relay2_Mars,1,2,190.99351642284884,0.67302721743809624,1,0.67302721743809624,120,558.86315560074956,0.67302721743809624,0
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,1,1,192.81205593293359,0.8203823605113022,0.99999999466578993,0.82038235613521038,60,552.90161580064557,0.82038235613521038,1
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B4_Physical_Multiobjective,Earth_Relay0_Mars,0,2,126.65181536925267,0.67302721743809624,1,0.67302721743809624,120,912.79909247540309,-1,0
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B4_Physical_Multiobjective,Earth_Relay1_Mars,1,2,304.42775422824872,0.67302721743809624,1,0.67302721743809624,120,671.49001305954516,0.27708367121041444,0
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B4_Physical_Multiobjective,Earth_Relay2_Mars,1,2,190.99351642284884,0.67302721743809624,1,0.67302721743809624,120,558.86315560074956,0.33292392982977026,0
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B1_Shortest_Delay,Direct_Earth_to_Mars,1,1,50.799971723706797,0.84988740916237837,0.99999999919158278,0.84988740847531474,60,1108.3930403289255,1,1
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B1_Shortest_Delay,Earth_Relay0_Mars,1,2,44.323562481308997,0.7223086082527399,0.99999982719934155,0.72230848343733678,120,1438.2680836363488,0.77064425814594606,0
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B1_Shortest_Delay,Earth_Relay1_Mars,0,2,61.376726032051906,0.7223086082527399,0.99999999999936684,0.7223086082522826,120,1266.6152805556267,-1,0
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B1_Shortest_Delay,Earth_Relay2_Mars,1,2,50.523033132309187,0.7223086082527399,0.99999999802119521,0.72230860682343212,120,1114.7622366446549,0.99428649795771684,0
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B2_Contact_Aware,Direct_Earth_to_Mars,1,1,50.799971723706797,0.84988740916237837,0.99999999919158278,0.84988740847531474,60,1108.3930403289255,0.84988740916237837,1
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B2_Contact_Aware,Earth_Relay0_Mars,1,2,44.323562481308997,0.7223086082527399,0.99999982719934155,0.72230848343733678,120,1438.2680836363488,0.7223086082527399,0
