Condition,Base_Scenario,Factor_Name,Factor_Value,Trial,Seed,Policy,Selected_Route,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,2,1000001,B2_Contact_Aware,Direct_Earth_to_Mars,200,170,0,30,30,0,0.84999999999999998,174080,1168.3930505689273
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,2,1000001,B3_Physical_Success,Direct_Earth_to_Mars,200,170,0,30,30,0,0.84999999999999998,174080,1168.3930505689273
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,2,1000001,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,170,0,30,30,0,0.84999999999999998,174080,1168.3930505689273
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B1_Shortest_Delay,Direct_Earth_to_Mars,200,170,0,30,30,0,0.84999999999999998,174080,1168.3930505689273
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B2_Contact_Aware,Direct_Earth_to_Mars,200,170,0,30,30,0,0.84999999999999998,174080,1168.3930505689273
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B3_Physical_Success,Direct_Earth_to_Mars,200,170,0,30,30,0,0.84999999999999998,174080,1168.3930505689273
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,170,0,30,30,0,0.84999999999999998,174080,1168.3930505689273
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,3,1000002,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,39,161,0,0,0
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,3,1000002,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,39,161,0,0,0
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,3,1000002,B3_Physical_Success,Earth_Relay1_Mars,200,127,0,73,73,0,0.63500000000000001,130048,1491.7558628611152
