Trial,Seed,Policy,Packet_Index,Release_Time_s,Selected_Route_Index,Selected_Route_Name,Route_Contact_Probability,Shared_Contact_Uniform,Contact_Realized,Outcome,Delivered,Expired,Dropped,Transmission_Time_Per_Hop_s,Total_Transmission_Time_s,PAT_Time_s,Propagation_Time_s,End_To_End_Latency_s,Arrival_Time_s,TTL_s,Deadline_s
1,100000,B1,0,23893.098475684965,0,Direct_Earth_to_Mars,0.85134381764986822,0.07580495332015004,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,24707.684584622537,1500,25393.098475684965
1,100000,B1,1,13301.148901622242,0,Direct_Earth_to_Mars,0.85134381764986822,0.26079315892960681,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,14115.735010559813,1500,14801.148901622242
1,100000,B1,2,24988.090690093839,0,Direct_Earth_to_Mars,0.85134381764986822,0.6862223495642551,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,25802.676799031411,1500,26488.090690093839
1,100000,B1,3,40064.454680758878,0,Direct_Earth_to_Mars,0.85134381764986822,0.97581079682374028,0,DROPPED_CONTACT_NOT_REALIZED,0,0,1,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,40879.040789696446,1500,41564.454680758878
1,100000,B1,4,4284.0573596271197,0,Direct_Earth_to_Mars,0.85134381764986822,0.31165102435204062,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,5098.6434685646909,1500,5784.0573596271197
1,100000,B1,5,9234.5737357852668,0,Direct_Earth_to_Mars,0.85134381764986822,0.42142034146528184,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,10049.159844722837,1500,10734.573735785267
1,100000,B1,6,30962.562447734159,0,Direct_Earth_to_Mars,0.85134381764986822,0.016581610394418897,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,31777.148556671731,1500,32462.562447734159
1,100000,B1,7,1519.0973938831105,0,Direct_Earth_to_Mars,0.85134381764986822,0.71492057656107333,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,2333.6835028206815,1500,3019.0973938831103
1,100000,B1,8,11366.458028949704,0,Direct_Earth_to_Mars,0.85134381764986822,0.82497871339946893,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,12181.044137887275,1500,12866.458028949704
1,100000,B1,9,24897.345577463162,0,Direct_Earth_to_Mars,0.85134381764986822,0.73808980844212091,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,25711.931686400734,1500,26397.345577463162
1,100000,B1,10,26877.339633544736,0,Direct_Earth_to_Mars,0.85134381764986822,0.076678812179452674,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,27691.925742482308,1500,28377.339633544736
1,100000,B1,11,39172.264824009479,0,Direct_Earth_to_Mars,0.85134381764986822,0.84758917312205662,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,39986.850932947047,1500,40672.264824009479
1,100000,B1,12,38260.038247490513,0,Direct_Earth_to_Mars,0.85134381764986822,0.22105666629862072,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,39074.624356428081,1500,39760.038247490513
1,100000,B1,13,10704.106358479072,0,Direct_Earth_to_Mars,0.85134381764986822,0.57361172061275423,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,11518.692467416642,1500,12204.106358479072
1,100000,B1,14,42802.288427371379,0,Direct_Earth_to_Mars,0.85134381764986822,0.88579982129223844,0,DROPPED_CONTACT_NOT_REALIZED,0,0,1,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,43616.874536308947,1500,44302.288427371379
1,100000,B1,15,15301.005994903753,0,Direct_Earth_to_Mars,0.85134381764986822,0.22113293447287455,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,16115.592103841323,1500,16801.005994903753
1,100000,B1,16,30337.533923042363,0,Direct_Earth_to_Mars,0.85134381764986822,0.23668632060750563,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,31152.120031979935,1500,31837.533923042363
1,100000,B1,17,18259.900971151012,0,Direct_Earth_to_Mars,0.85134381764986822,0.24887395765853715,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,19074.487080088584,1500,19759.900971151012
1,100000,B1,18,6352.9349129957618,0,Direct_Earth_to_Mars,0.85134381764986822,0.21747773831641787,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,7167.521021933333,1500,7852.9349129957618
1,100000,B1,19,43129.657474455948,0,Direct_Earth_to_Mars,0.85134381764986822,0.64197618593142214,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,43944.243583393516,1500,44629.657474455948
1,100000,B1,20,32142.747994319834,0,Direct_Earth_to_Mars,0.85134381764986822,0.38258551210022396,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,32957.334103257403,1500,33642.747994319834
1,100000,B1,21,3980.9058143512734,0,Direct_Earth_to_Mars,0.85134381764986822,0.80006586891537745,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,4795.4919232888442,1500,5480.9058143512739
1,100000,B1,22,24992.001651002112,0,Direct_Earth_to_Mars,0.85134381764986822,0.63716721846665014,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,25806.587759939684,1500,26492.001651002112
1,100000,B1,23,7346.468955908158,0,Direct_Earth_to_Mars,0.85134381764986822,0.07941399725202479,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,8161.0550648457292,1500,8846.468955908158
1,100000,B1,24,30729.604100675948,0,Direct_Earth_to_Mars,0.85134381764986822,0.48838239795748323,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,31544.19020961352,1500,32229.604100675948
1,100000,B1,25,6065.2682170206208,0,Direct_Earth_to_Mars,0.85134381764986822,0.73512229594509082,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,6879.854325958192,1500,7565.2682170206208
1,100000,B1,26,4518.9165391509068,0,Direct_Earth_to_Mars,0.85134381764986822,0.26908295459394638,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,5333.5026480884781,1500,6018.9165391509068
1,100000,B1,27,1310.9987717087754,0,Direct_Earth_to_Mars,0.85134381764986822,0.61903017671797034,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,2125.5848806463464,1500,2810.9987717087752
1,100000,B1,28,652.58040026127651,0,Direct_Earth_to_Mars,0.85134381764986822,0.99911111345693659,0,DROPPED_CONTACT_NOT_REALIZED,0,0,1,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,1467.1665091988475,1500,2152.5804002612767
1,100000,B1,29,37539.330275495988,0,Direct_Earth_to_Mars,0.85134381764986822,0.0041145928749895914,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,38353.916384433556,1500,39039.330275495988
1,100000,B1,30,5594.4483944887897,0,Direct_Earth_to_Mars,0.85134381764986822,0.34765913802691178,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,6409.034503426361,1500,7094.4483944887897
1,100000,B1,31,4332.5130832107743,0,Direct_Earth_to_Mars,0.85134381764986822,0.48270221069538555,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,5147.0991921483455,1500,5832.5130832107743
1,100000,B1,32,27041.563959833569,0,Direct_Earth_to_Mars,0.85134381764986822,0.54010516814105747,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,27856.150068771141,1500,28541.563959833569
1,100000,B1,33,3962.1352066144486,0,Direct_Earth_to_Mars,0.85134381764986822,0.11930844759569099,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,4776.7213155520194,1500,5462.1352066144482
1,100000,B1,34,30038.773740098568,0,Direct_Earth_to_Mars,0.85134381764986822,0.23855912322948494,1,DELIVERED_MECHANICALLY,1,0,0,8.1920000000000002e-05,8.1920000000000002e-05,60,754.58602701757093,814.58610893757088,30853.35984903614,1500,31538.773740098568
