Condition,Metric,Reference_Policy,Comparator_Policy,Interpretation,Excluded_Worlds,N,Reference_Mean,Comparator_Mean,Mean_Paired_Difference,Median_Paired_Difference,SD_Paired_Difference,CI95_Lower,CI95_Upper,Cohens_Dz,Preferred_Wins,Preferred_Losses,Ties,Exact_Sign_Test_P_Value
NoRelay2__Direct_Combined_25pctPower_BG16,Reliability,B1_Shortest_Delay,B4_Physical_Multiobjective,Preserved,,1000,0.32249500000000003,0.6289450000000001,0.30645,0.0,0.39916222012858127,0.2816801139098987,0.3312198860901013,0.7677329780891686,378,0,622,3.248565551764031e-114
NoRelay2__Direct_Combined_25pctPower_BG16,Conditional_Latency_s,B1_Shortest_Delay,B4_Physical_Multiobjective,,620,380,483.39086917624473,489.8283511149763,6.4374819387315,0.0,37.54847107001753,2.650112741124359,10.224851136338641,0.17144458230342785,0,13,367,0.000244140625
NoRelay2__Direct_Combined_25pctPower_BG16,Reliability,B3_Physical_Success,B4_Physical_Multiobjective,,,1000,0.6336900000000001,0.6289450000000001,-0.004745,0.0,0.03551931300851125,-0.006949139802950453,-0.0025408601970495475,-0.13358929545914888,2,25,973,5.647540092468262e-06
NoRelay2__Direct_Combined_25pctPower_BG16,Conditional_Latency_s,B3_Physical_Success,B4_Physical_Multiobjective,,255,745,877.1330170321944,858.2202367027463,-18.912780329448015,0.0,66.69542766299375,-23.70981764483995,-14.11574301405608,-0.2835693688780686,62,0,683,4.336808689942018e-19
NoRelay2__Direct_Pointing_25pct_Power,Reliability,B1_Shortest_Delay,B4_Physical_Multiobjective,Preserved,,1000,0.42461,0.638335,0.213725,0.0,0.36228220736433187,0.19124369150844417,0.23620630849155583,0.5899406475269314,263,0,737,1.349401336733507e-79
NoRelay2__Direct_Pointing_25pct_Power,Conditional_Latency_s,B1_Shortest_Delay,B4_Physical_Multiobjective,,510,490,566.3061982035777,568.9733262364988,2.6671280329211062,0.0,22.18801290791911,0.6976791867583054,4.636576879083907,0.12020580860439212,0,7,483,0.015625
NoRelay2__Direct_Pointing_25pct_Power,Reliability,B3_Physical_Success,B4_Physical_Multiobjective,,,1000,0.6434500000000001,0.638335,-0.005115000000000001,0.0,0.03502911380286138,-0.007288720645342065,-0.002941279354657936,-0.14602139319842505,3,36,961,3.608874976634979e-08
NoRelay2__Direct_Pointing_25pct_Power,Conditional_Latency_s,B3_Physical_Success,B4_Physical_Multiobjective,,254,746,841.1632859685814,827.8910132290436,-13.272272739537728,0.0,61.121453786208754,-17.665447535816085,-8.879097943259373,-0.21714589423807915,40,0,706,1.8189894035458565e-12
