Condition,Base_Scenario,Factor_Name,Factor_Value,Trial,Seed,Policy,Selected_Route,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
PAT60__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,60,1,1000000,B3_Physical_Success,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
PAT60__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,60,1,1000000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,612.90162604064619
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,2,1000001,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,2,1000001,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,2,1000001,B3_Physical_Success,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1354.7622571246538
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,2,1000001,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1354.7622571246538
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,2,1000001,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,2,1000001,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,2,1000001,B3_Physical_Success,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1354.7622571246538
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,2,1000001,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1354.7622571246538
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,2,1000001,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,2,1000001,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,2,1000001,B3_Physical_Success,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1174.7622571246552
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,2,1000001,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1174.7622571246552
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,2,1000001,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,2,1000001,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,2,1000001,B3_Physical_Success,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1174.7622571246552
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,2,1000001,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1174.7622571246552
PAT60__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,60,2,1000001,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
PAT60__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,60,2,1000001,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
PAT60__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,60,2,1000001,B3_Physical_Success,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1234.7622571246548
PAT60__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,60,2,1000001,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1234.7622571246548
PAT60__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,60,2,1000001,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
PAT60__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,60,2,1000001,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,30,170,0,0,0
PAT60__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,60,2,1000001,B3_Physical_Success,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1234.7622571246548
PAT60__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,60,2,1000001,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,144,0,56,56,0,0.71999999999999997,147456,1234.7622571246548
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,3,1000002,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,39,161,0,0,0
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,3,1000002,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,39,161,0,0,0
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,3,1000002,B3_Physical_Success,Earth_Relay1_Mars,200,0,127,73,73,0,0,0,0
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,3,1000002,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,127,0,73,73,0,0.63500000000000001,130048,1446.8274305394468
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,3,1000002,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,39,161,0,0,0
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,3,1000002,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,39,161,0,0,0
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,3,1000002,B3_Physical_Success,Earth_Relay1_Mars,200,0,127,73,73,0,0,0,0
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,3,1000002,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,127,0,73,73,0,0.63500000000000001,130048,1446.8274305394468
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,3,1000002,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,39,161,0,0,0
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,3,1000002,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,39,161,0,0,0
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,3,1000002,B3_Physical_Success,Earth_Relay1_Mars,200,127,0,73,73,0,0.63500000000000001,130048,1431.7558628611152
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,3,1000002,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,127,0,73,73,0,0.63500000000000001,130048,1266.8274305394473
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,3,1000002,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,39,161,0,0,0
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,3,1000002,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,39,161,0,0,0
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,3,1000002,B3_Physical_Success,Earth_Relay1_Mars,200,127,0,73,73,0,0.63500000000000001,130048,1431.7558628611152
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,3,1000002,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,127,0,73,73,0,0.63500000000000001,130048,1266.8274305394473
PAT60__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,60,3,1000002,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,39,161,0,0,0
PAT60__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,60,3,1000002,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,39,161,0,0,0
PAT60__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,60,3,1000002,B3_Physical_Success,Earth_Relay1_Mars,200,127,0,73,73,0,0.63500000000000001,130048,1491.7558628611152
PAT60__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,60,3,1000002,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,127,0,73,73,0,0.63500000000000001,130048,1326.8274305394471
PAT60__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,60,3,1000002,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,39,161,0,0,0
PAT60__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,60,3,1000002,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,39,161,0,0,0
PAT60__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,60,3,1000002,B3_Physical_Success,Earth_Relay1_Mars,200,127,0,73,73,0,0.63500000000000001,130048,1491.7558628611152
PAT60__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,60,3,1000002,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,127,0,73,73,0,0.63500000000000001,130048,1326.8274305394471
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,4,1000003,B1_Shortest_Delay,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,456.29421414935365
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,4,1000003,B2_Contact_Aware,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,456.29421414935365
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,4,1000003,B3_Physical_Success,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,456.29421414935365
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,4,1000003,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,456.29421414935365
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,4,1000003,B1_Shortest_Delay,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,456.29421414935365
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,4,1000003,B2_Contact_Aware,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,456.29421414935365
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,4,1000003,B3_Physical_Success,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,456.29421414935365
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,4,1000003,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,456.29421414935365
