Trial,Seed,Scenario,Policy,Selected_Route,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
100,100099,Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,569.5858213212307
100,100099,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,569.5858213212307
100,100099,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,569.5858213212307
100,100099,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,569.5858213212307
100,100099,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,569.5858213212307
100,100099,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,569.5858213212307
100,100099,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,569.5858213212307
100,100099,Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,569.5858213212307
100,100099,Direct_Pointing_25pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,569.5858213212307
100,100099,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,569.5858213212307
11,100010,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
11,100010,Control,B2_Contact_Aware,Direct_Earth_to_Mars,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
11,100010,Control,B3_Physical_Success,Direct_Earth_to_Mars,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
