Trial,Seed,Experiment_Family,Design_Name,Transmit_Power_W,TX_Diameter_m,RX_Diameter_m,Slot_Rate_Hz,PPM_Order,Packet_Bits,Background_Photons_Per_Slot,Route_Name,Route_Available,Hop_Count,Total_Route_Distance_m,Bottleneck_Signal_Photons_Per_Slot,Phase12B_Probability,Log10_Symbol_Error_Upper_Bound,Log10_Route_Packet_Failure_Upper_Bound,Route_Packet_Success_Lower_Bound,Double_Precision_Saturated
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay2_Mars,1,2,228003438045.67664,1.1387795578106634,0,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Direct_Earth_to_Mars,1,1,226224890899.86777,1.1466312063662434,0,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay0_Mars,1,2,256781830927.78528,1.7788363724227694,0,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay1_Mars,0,2,346483690510.33167,0.81997648430243142,0,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay2_Mars,1,2,228003438045.67664,1.1387795578106634,0,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Direct_Earth_to_Mars,1,1,226224890899.86777,1.1466312063662434,0,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay0_Mars,1,2,256781830927.78528,1.7788363724227694,0,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay1_Mars,0,2,346483690510.33167,0.81997648430243142,0,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay2_Mars,1,2,228003438045.67664,1.1387795578106634,0,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Direct_Earth_to_Mars,1,1,226224890899.86777,1.1466312063662434,0,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay0_Mars,1,2,256781830927.78528,1.7788363724227694,0,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay1_Mars,0,2,346483690510.33167,0.81997648430243142,0,0,0,0,0
1,100000,Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay2_Mars,1,2,228003438045.67664,1.1387795578106634,0,0,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Direct_Earth_to_Mars,1,1,226224890899.86777,2.2932624127324868,2.3043318632243674e-95,0,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Earth_Relay0_Mars,1,2,256781830927.78528,3.5576727448455387,1.8976106486394664e-26,-0.36898638244833182,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Earth_Relay1_Mars,0,2,346483690510.33167,1.6399529686048628,0,0,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Earth_Relay2_Mars,1,2,228003438045.67664,2.2775591156213268,6.0353063283104437e-97,0,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Direct_Earth_to_Mars,1,1,226224890899.86777,2.2932624127324868,7.808363586079136e-127,0,0,0,0
