Experiment_Family,Design_Name,Transmit_Power_W,TX_Diameter_m,RX_Diameter_m,Slot_Rate_Hz,PPM_Order,Packet_Bits,Background_Photons_Per_Slot,Route_Name,N_Worlds,Mean_End_To_End_Packet_Success,Minimum,Maximum,Worlds_At_Least_50pct,Worlds_At_Least_90pct,Worlds_At_Least_99pct,Worlds_At_Least_99_9pct
Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay0_Mars,100,0.0016257119486150469,0,0.053487959900106644,0,0,0,0
Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay1_Mars,100,6.781399368302971e-17,0,6.7795883180209701e-15,0,0,0,0
Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay2_Mars,100,0.039185820045919549,0,0.90846246215470494,4,1,0,0
Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Direct_Earth_to_Mars,100,0.00215962498223366,0,0.14902734527120579,0,0,0,0
Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay0_Mars,100,7.955507466204154e-19,0,7.922271205648947e-17,0,0,0,0
Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay1_Mars,100,3.6729071889019181e-97,0,3.672907188901911e-95,0,0,0,0
Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay2_Mars,100,0.0011090855197391897,0,0.08245010855967716,0,0,0,0
Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Direct_Earth_to_Mars,100,8.7437832667128585e-18,0,8.7436895314881713e-16,0,0,0,0
Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay0_Mars,100,1.1840819672228316e-126,0,1.1840817983217582e-124,0,0,0,0
Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay1_Mars,100,0,0,0,0,0,0,0
Transmit_Power,Power_25W,25,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay2_Mars,100,6.706918008872221e-21,0,6.7069005725590178e-19,0,0,0,0
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Direct_Earth_to_Mars,100,0.15257908093944736,0,0.99999999151577867,15,13,11,8
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Earth_Relay0_Mars,100,0.23488790655192954,0,0.99996014957572732,24,21,20,19
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Earth_Relay1_Mars,100,0.065329259379080615,0,0.98820551420113845,7,3,0,0
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Earth_Relay2_Mars,100,0.15072983898391348,0,0.9999999819222013,15,12,11,8
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Direct_Earth_to_Mars,100,0.13898911242965195,0,0.99999995871144254,14,11,10,7
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay0_Mars,100,0.22912914955007491,0,0.99985817725248038,24,21,19,12
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay1_Mars,100,0.049053672379535229,0,0.96837003136652655,4,3,0,0
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay2_Mars,100,0.13736015738987978,0,0.99999991417007916,14,11,10,7
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Direct_Earth_to_Mars,100,0.11751034575608203,0,0.99999959112378012,11,11,7,7
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay0_Mars,100,0.20952268819630493,0,0.99898479996939804,21,20,14,0
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay1_Mars,100,0.026374735859482037,0,0.84019506349012718,3,0,0,0
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay2_Mars,100,0.1160097560269982,0,0.99999917208504174,11,11,7,7
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Direct_Earth_to_Mars,100,0.085236008891186682,0,0.99992339198683056,9,7,5,3
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay0_Mars,100,0.14982400242565325,0,0.94134879916634617,19,4,0,0
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay1_Mars,100,0.00021976168731894805,0,0.018135998376784604,0,0,0,0
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay2_Mars,100,0.082867802135711502,0,0.99985880696460472,8,7,5,3
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Direct_Earth_to_Mars,100,0.049472900875345303,0,0.98278085053470632,5,3,0,0
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay0_Mars,100,0.0013476935976594201,0,0.053905026244595679,0,0,0,0
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay1_Mars,100,4.6724552525145239e-28,0,4.6724551882763551e-26,0,0,0,0
Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay2_Mars,100,0.045622769560892618,0,0.97227043558367676,4,2,0,0
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Direct_Earth_to_Mars,100,0.26910785825093803,3.8013697541581468e-247,1,28,23,21,16
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Earth_Relay0_Mars,100,0.28496716252484172,0,0.99999999999863576,29,24,24,24
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Earth_Relay1_Mars,100,0.1676138085848223,0,0.99999993127926479,17,14,11,9
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Earth_Relay2_Mars,100,0.26821494666548201,0,1,28,23,20,16
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Direct_Earth_to_Mars,100,0.25747104948999955,3.7520530862238608e-302,1,28,22,19,16
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay0_Mars,100,0.26642417927955792,0,0.99999999999431566,26,24,24,24
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay1_Mars,100,0.15118150999662244,0,0.99999968814522933,15,13,11,7
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay2_Mars,100,0.25604588819452195,0,1,26,22,19,15
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Direct_Earth_to_Mars,100,0.22394935655908704,0,0.99999999999340616,22,20,16,14
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay0_Mars,100,0.24388213009018347,0,0.99999999991973709,24,24,24,24
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay1_Mars,100,0.12680948891026225,0,0.99999713132867496,13,11,7,4
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay2_Mars,100,0.22213112908050217,0,0.99999999999522515,22,20,16,14
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Direct_Earth_to_Mars,100,0.16824647578695859,0,0.99999999999954525,16,14,12,11
