Relay_Count,Trial,Hop_Count,Distance_Per_Hop_m,Transmit_Power_W,Atmosphere_Efficiency,Receiver_Efficiency,Bottleneck_Rate_bps,Weakest_Received_Power_W,Minimum_Photons_Per_Packet,Propagation_Delay_s,Transmission_Delay_s,Processing_Delay_s,Total_Delay_s,Packet_Delivered
0,37,1,5.86954e+07,9.43872,0.937768,0.773076,3.1833e+13,8.1594e-07,1638.4,0.195782,2.57343e-10,0,0.195782,1
0,38,1,5.86954e+07,10.6569,0.939623,0.777587,3.62227e+13,9.28457e-07,1638.4,0.195782,2.26157e-10,0,0.195782,1
0,39,1,5.86954e+07,9.93502,0.949398,0.826297,3.62576e+13,9.29353e-07,1638.4,0.195782,2.25939e-10,0,0.195782,1
0,40,1,5.86954e+07,8.29538,0.893619,0.75743,2.61202e+13,6.69512e-07,1638.4,0.195782,3.13626e-10,0,0.195782,1
0,41,1,5.86954e+07,8.30327,0.861727,0.834008,2.7761e+13,7.11569e-07,1638.4,0.195782,2.9509e-10,0,0.195782,1
0,42,1,5.86954e+07,11.0478,0.862562,0.750012,3.3249e+13,8.52236e-07,1638.4,0.195782,2.46383e-10,0,0.195782,1
0,43,1,5.86954e+07,11.259,0.920298,0.846905,4.08235e+13,1.04638e-06,1638.4,0.195782,2.00669e-10,0,0.195782,1
0,44,1,5.86954e+07,10.5743,0.941542,0.777292,3.60016e+13,9.22789e-07,1638.4,0.195782,2.27546e-10,0,0.195782,1
0,45,1,5.86954e+07,10.5478,0.947056,0.756548,3.51576e+13,9.01158e-07,1638.4,0.195782,2.33008e-10,0,0.195782,1
0,46,1,5.86954e+07,10.4036,0.945749,0.843637,3.86155e+13,9.8979e-07,1638.4,0.195782,2.12143e-10,0,0.195782,1
0,47,1,5.86954e+07,11.9639,0.942159,0.84128,4.41147e+13,1.13074e-06,1638.4,0.195782,1.85698e-10,0,0.195782,1
0,48,1,5.86954e+07,10.7722,0.948093,0.813054,3.86297e+13,9.90155e-07,1638.4,0.195782,2.12065e-10,0,0.195782,1
0,49,1,5.86954e+07,10.5123,0.892703,0.841714,3.67464e+13,9.41881e-07,1638.4,0.195782,2.22933e-10,0,0.195782,1
0,50,1,5.86954e+07,8.43118,0.946754,0.846813,3.14456e+13,8.06011e-07,1638.4,0.195782,2.60514e-10,0,0.195782,1
0,51,1,5.86954e+07,8.16203,0.89754,0.777685,2.65034e+13,6.79334e-07,1638.4,0.195782,3.09092e-10,0,0.195782,1
0,52,1,5.86954e+07,11.3823,0.86268,0.773188,3.53192e+13,9.053e-07,1638.4,0.195782,2.31942e-10,0,0.195782,1
0,53,1,5.86954e+07,11.6326,0.882597,0.833164,3.97938e+13,1.01999e-06,1638.4,0.195782,2.05861e-10,0,0.195782,1
0,54,1,5.86954e+07,11.0868,0.864105,0.806883,3.59607e+13,9.21743e-07,1638.4,0.195782,2.27804e-10,0,0.195782,1
0,55,1,5.86954e+07,9.57589,0.900616,0.764244,3.06618e+13,7.85921e-07,1638.4,0.195782,2.67173e-10,0,0.195782,1
0,56,1,5.86954e+07,10.1339,0.865775,0.833483,3.40194e+13,8.71982e-07,1638.4,0.195782,2.40804e-10,0,0.195782,1
0,57,1,5.86954e+07,9.64292,0.945225,0.826378,3.50404e+13,8.98152e-07,1638.4,0.195782,2.33788e-10,0,0.195782,1
0,58,1,5.86954e+07,11.1086,0.887875,0.829375,3.80548e+13,9.75418e-07,1638.4,0.195782,2.15268e-10,0,0.195782,1
0,59,1,5.86954e+07,9.57508,0.866276,0.763874,2.94759e+13,7.55524e-07,1638.4,0.195782,2.77922e-10,0,0.195782,1
0,60,1,5.86954e+07,11.4431,0.856427,0.776349,3.53946e+13,9.07233e-07,1638.4,0.195782,2.31448e-10,0,0.195782,1
0,61,1,5.86954e+07,10.5213,0.896441,0.838796,3.6804e+13,9.43358e-07,1638.4,0.195782,2.22584e-10,0,0.195782,1
0,62,1,5.86954e+07,10.5729,0.903264,0.767922,3.41172e+13,8.7449e-07,1638.4,0.195782,2.40114e-10,0,0.195782,1
0,63,1,5.86954e+07,10.396,0.919048,0.785575,3.49171e+13,8.94993e-07,1638.4,0.195782,2.34613e-10,0,0.195782,1
0,64,1,5.86954e+07,8.66753,0.903921,0.832929,3.03585e+13,7.78147e-07,1638.4,0.195782,2.69842e-10,0,0.195782,1
0,65,1,5.86954e+07,9.29464,0.855792,0.804602,2.97733e+13,7.63148e-07,1638.4,0.195782,2.75145e-10,0,0.195782,1
0,66,1,5.86954e+07,8.31706,0.905047,0.751934,2.6331e+13,6.74914e-07,1638.4,0.195782,3.11117e-10,0,0.195782,1
0,67,1,5.86954e+07,10.3658,0.885571,0.767889,3.27923e+13,8.4053e-07,1638.4,0.195782,2.49815e-10,0,0.195782,1
0,68,1,5.86954e+07,8.59536,0.941636,0.810101,3.05023e+13,7.81832e-07,1638.4,0.195782,2.6857e-10,0,0.195782,1
0,69,1,5.86954e+07,8.25862,0.941611,0.810345,2.93153e+13,7.51409e-07,1638.4,0.195782,2.79444e-10,0,0.195782,1
0,70,1,5.86954e+07,10.14,0.854007,0.835169,3.3645e+13,8.62385e-07,1638.4,0.195782,2.43484e-10,0,0.195782,1
0,71,1,5.86954e+07,9.39654,0.86741,0.836681,3.17248e+13,8.13168e-07,1638.4,0.195782,2.58221e-10,0,0.195782,1
0,72,1,5.86954e+07,9.277,0.933334,0.769726,3.10047e+13,7.9471e-07,1638.4,0.195782,2.64218e-10,0,0.195782,1
0,73,1,5.86954e+07,9.92693,0.904214,0.802002,3.34894e+13,8.58399e-07,1638.4,0.195782,2.44614e-10,0,0.195782,1
0,74,1,5.86954e+07,8.48056,0.916155,0.798606,2.8865e+13,7.39867e-07,1638.4,0.195782,2.83803e-10,0,0.195782,1
0,75,1,5.86954e+07,11.1462,0.944516,0.765229,3.74777e+13,9.60627e-07,1638.4,0.195782,2.18583e-10,0,0.195782,1
0,76,1,5.86954e+07,10.1154,0.897127,0.819917,3.46141e+13,8.87227e-07,1638.4,0.195782,2.36666e-10,0,0.195782,1
0,77,1,5.86954e+07,11.6189,0.878613,0.81531,3.87196e+13,9.92459e-07,1638.4,0.195782,2.11572e-10,0,0.195782,1
0,78,1,5.86954e+07,9.9159,0.933909,0.764163,3.29207e+13,8.43821e-07,1638.4,0.195782,2.4884e-10,0,0.195782,1
0,79,1,5.86954e+07,9.53797,0.949214,0.805812,3.39391e+13,8.69924e-07,1638.4,0.195782,2.41374e-10,0,0.195782,1
0,80,1,5.86954e+07,11.2273,0.921681,0.760887,3.66286e+13,9.38862e-07,1638.4,0.195782,2.2365e-10,0,0.195782,1
0,81,1,5.86954e+07,10.8772,0.855932,0.805174,3.48733e+13,8.9387e-07,1638.4,0.195782,2.34907e-10,0,0.195782,1
0,82,1,5.86954e+07,10.0884,0.861246,0.83551,3.37712e+13,8.6562e-07,1638.4,0.195782,2.42574e-10,0,0.195782,1
0,83,1,5.86954e+07,8.45123,0.917493,0.829219,2.99115e+13,7.66689e-07,1638.4,0.195782,2.73875e-10,0,0.195782,1
0,84,1,5.86954e+07,10.4333,0.934851,0.804325,3.64958e+13,9.35458e-07,1638.4,0.195782,2.24464e-10,0,0.195782,1
0,85,1,5.86954e+07,10.3637,0.895616,0.834663,3.60408e+13,9.23796e-07,1638.4,0.195782,2.27298e-10,0,0.195782,1
0,86,1,5.86954e+07,10.5026,0.923616,0.83169,3.75315e+13,9.62006e-07,1638.4,0.195782,2.1827e-10,0,0.195782,1
0,87,1,5.86954e+07,11.9443,0.885056,0.840434,4.13316e+13,1.05941e-06,1638.4,0.195782,1.98202e-10,0,0.195782,1
0,88,1,5.86954e+07,9.05602,0.88815,0.792302,2.96456e+13,7.59874e-07,1638.4,0.195782,2.76331e-10,0,0.195782,1
0,89,1,5.86954e+07,10.7033,0.896596,0.801896,3.57998e+13,9.17618e-07,1638.4,0.195782,2.28828e-10,0,0.195782,1
0,90,1,5.86954e+07,9.68178,0.943122,0.773293,3.28483e+13,8.41966e-07,1638.4,0.195782,2.49389e-10,0,0.195782,1
0,91,1,5.86954e+07,9.97067,0.859541,0.814283,3.24648e+13,8.32135e-07,1638.4,0.195782,2.52335e-10,0,0.195782,1
0,92,1,5.86954e+07,9.98753,0.935895,0.791506,3.4418e+13,8.822e-07,1638.4,0.195782,2.38015e-10,0,0.195782,1
0,93,1,5.86954e+07,11.0428,0.858803,0.759011,3.34863e+13,8.5832e-07,1638.4,0.195782,2.44637e-10,0,0.195782,1
0,94,1,5.86954e+07,10.7411,0.896017,0.795134,3.56001e+13,9.12499e-07,1638.4,0.195782,2.30112e-10,0,0.195782,1
0,95,1,5.86954e+07,10.2732,0.878012,0.829792,3.48194e+13,8.92488e-07,1638.4,0.195782,2.35271e-10,0,0.195782,1
0,96,1,5.86954e+07,9.36282,0.864702,0.844058,3.17901e+13,8.14841e-07,1638.4,0.195782,2.5769e-10,0,0.195782,1
0,97,1,5.86954e+07,8.26653,0.920563,0.833259,2.94987e+13,7.56109e-07,1638.4,0.195782,2.77707e-10,0,0.195782,1
0,98,1,5.86954e+07,10.3634,0.880283,0.763115,3.23864e+13,8.30125e-07,1638.4,0.195782,2.52946e-10,0,0.195782,1
0,99,1,5.86954e+07,8.57994,0.891818,0.818285,2.9128e+13,7.46608e-07,1638.4,0.195782,2.81241e-10,0,0.195782,1
0,100,1,5.86954e+07,9.81237,0.901117,0.833922,3.43025e+13,8.7924e-07,1638.4,0.195782,2.38816e-10,0,0.195782,1
1,1,2,2.93477e+07,10.1036,0.918954,0.765052,1.3218e+14,3.38803e-06,1638.4,0.195782,1.23952e-10,0.005,0.200782,1
1,2,2,2.93477e+07,11.5855,0.937917,0.772482,1.56198e+14,4.00366e-06,1638.4,0.195782,1.04892e-10,0.005,0.200782,1
1,3,2,2.93477e+07,10.4923,0.923707,0.788017,1.42117e+14,3.64274e-06,1638.4,0.195782,1.15285e-10,0.005,0.200782,1
1,4,2,2.93477e+07,10.5959,0.919538,0.835512,1.51484e+14,3.88282e-06,1638.4,0.195782,1.08157e-10,0.005,0.200782,1
1,5,2,2.93477e+07,10.4703,0.927573,0.828916,1.49804e+14,3.83976e-06,1638.4,0.195782,1.0937e-10,0.005,0.200782,1
1,6,2,2.93477e+07,8.19112,0.864554,0.77214,1.01751e+14,2.60806e-06,1638.4,0.195782,1.61021e-10,0.005,0.200782,1
1,7,2,2.93477e+07,8.77817,0.888492,0.802836,1.16517e+14,2.98657e-06,1638.4,0.195782,1.40614e-10,0.005,0.200782,1
1,8,2,2.93477e+07,11.4665,0.925639,0.754481,1.49014e+14,3.81952e-06,1638.4,0.195782,1.09949e-10,0.005,0.200782,1
1,9,2,2.93477e+07,9.18169,0.895611,0.771516,1.18057e+14,3.02604e-06,1638.4,0.195782,1.3878e-10,0.005,0.200782,1
1,10,2,2.93477e+07,8.06199,0.882899,0.77027,1.02024e+14,2.61507e-06,1638.4,0.195782,1.6059e-10,0.005,0.200782,1
1,11,2,2.93477e+07,11.0166,0.884514,0.816188,1.47996e+14,3.79341e-06,1638.4,0.195782,1.10706e-10,0.005,0.200782,1
1,12,2,2.93477e+07,9.60719,0.94681,0.776405,1.31418e+14,3.36849e-06,1638.4,0.195782,1.24671e-10,0.005,0.200782,1
1,13,2,2.93477e+07,11.0781,0.916032,0.818016,1.5447e+14,3.95937e-06,1638.4,0.195782,1.06066e-10,0.005,0.200782,1
1,14,2,2.93477e+07,10.0806,0.919315,0.811236,1.39895e+14,3.58579e-06,1638.4,0.195782,1.17116e-10,0.005,0.200782,1
1,15,2,2.93477e+07,8.64509,0.877157,0.829277,1.17018e+14,2.9994e-06,1638.4,0.195782,1.40013e-10,0.005,0.200782,1
1,16,2,2.93477e+07,11.7809,0.943057,0.778008,1.60844e+14,4.12276e-06,1638.4,0.195782,1.01862e-10,0.005,0.200782,1
1,17,2,2.93477e+07,8.23166,0.94921,0.846659,1.23102e+14,3.15534e-06,1638.4,0.195782,1.33093e-10,0.005,0.200782,1
1,18,2,2.93477e+07,11.0141,0.891121,0.795184,1.45231e+14,3.72255e-06,1638.4,0.195782,1.12813e-10,0.005,0.200782,1
1,19,2,2.93477e+07,9.25972,0.902835,0.796222,1.23864e+14,3.17489e-06,1638.4,0.195782,1.32274e-10,0.005,0.200782,1
1,20,2,2.93477e+07,10.4933,0.867851,0.819632,1.38894e+14,3.56011e-06,1638.4,0.195782,1.17961e-10,0.005,0.200782,1
1,21,2,2.93477e+07,10.4132,0.864114,0.776039,1.29941e+14,3.33065e-06,1638.4,0.195782,1.26088e-10,0.005,0.200782,1
1,22,2,2.93477e+07,11.2666,0.928502,0.846751,1.6483e+14,4.22492e-06,1638.4,0.195782,9.93993e-11,0.005,0.200782,1
1,23,2,2.93477e+07,9.61462,0.889848,0.78359,1.24751e+14,3.1976e-06,1638.4,0.195782,1.31334e-10,0.005,0.200782,1
1,24,2,2.93477e+07,8.67865,0.919559,0.788037,1.17027e+14,2.99962e-06,1638.4,0.195782,1.40002e-10,0.005,0.200782,1
1,25,2,2.93477e+07,9.31463,0.863637,0.795389,1.19065e+14,3.05185e-06,1638.4,0.195782,1.37606e-10,0.005,0.200782,1
1,26,2,2.93477e+07,11.1945,0.928855,0.792632,1.53367e+14,3.93108e-06,1638.4,0.195782,1.06829e-10,0.005,0.200782,1
1,27,2,2.93477e+07,9.45292,0.856439,0.82712,1.24606e+14,3.19388e-06,1638.4,0.195782,1.31487e-10,0.005,0.200782,1
1,28,2,2.93477e+07,11.6029,0.869241,0.823483,1.5455e+14,3.96141e-06,1638.4,0.195782,1.06011e-10,0.005,0.200782,1
1,29,2,2.93477e+07,10.5948,0.889422,0.795468,1.39486e+14,3.57529e-06,1638.4,0.195782,1.1746e-10,0.005,0.200782,0
1,30,2,2.93477e+07,10.5615,0.887586,0.788067,1.37469e+14,3.5236e-06,1638.4,0.195782,1.19183e-10,0.005,0.200782,1
